公告,#genre#
更新日期,http://159.75.85.63:35455/huya/11282233
2024-12-24,http://159.75.85.63:35455/huya/11342387
📡  央视频道,#genre#
CCTV1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000010000030810/1.m3u8$LR•IPV6『线路1』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3$LR•IPV6『线路3』
CCTV1,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$LR•IPV6『线路4』
CCTV1,http://101.65.33.225:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路5』
CCTV1,http://36.35.172.10:9901/tsfile/live/1000_1.m3u8$LR•IPV4『线路6』
CCTV1,https://tvbox.nat.netsite.cc:8043/proxy/1387573383/1387573383.m3u8$LR•IPV4『线路7』
CCTV1,http://119.62.27.8:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路8』
CCTV1,http://101.66.199.128:9901/tsfile/live/0001_1.m3u8$LR•IPV4『线路9』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$LR•IPV6『线路1』
CCTV2,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/$LR•IPV6『线路3』
CCTV2,http://101.65.33.225:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路4』
CCTV2,http://221.213.69.82:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路5』
CCTV2,http://101.66.199.254:9901/tsfile/live/0002_1.m3u8$LR•IPV4『线路6』
CCTV2,http://36.35.172.21:9901/tsfile/live/1001_1.m3u8$LR•IPV4『线路7』
CCTV2,http://36.35.111.195:9901/tsfile/live/1001_1.m3u8$LR•IPV4『线路8』
CCTV3,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$LR•IPV6『线路1』
CCTV3,http://[2409:8087:5e08:24::11]:6610/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$LR•IPV6『线路2』
CCTV3,http://123.159.129.209:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路3』
CCTV3,http://101.65.33.225:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路4』
CCTV3,http://101.66.198.58:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路5』
CCTV3,http://101.66.199.132:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路6』
CCTV3,http://119.62.27.8:9901/tsfile/live/0003_1.m3u8$LR•IPV4『线路7』
CCTV4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8$LR•IPV6『线路1』
CCTV4,http://[2409:8087:5e08:24::11]:6610/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$LR•IPV6『线路2』
