
👦Lem推荐,#genre#
重庆新闻,https://live.goodiptv.club/api/cqyx.php?id=CQTVNewsHD
凤凰中文,http://222.212.90.192:18000/udp/239.93.1.9:2192
凤凰中文,http://61.221.81.93:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://162.19.247.76:22222/live/fenghuangweishi/index.m3u8
凤凰中文,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=fhzw_1500
凤凰资讯,http://222.212.90.192:18000/udp/239.93.1.4:2191
凤凰资讯,http://61.221.81.93:8078/hls/20/80/phoenixif.m3u8
凤凰资讯,http://162.19.247.76:22222/live/fenghuangzhixun/index.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
星空卫视,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=xingkong_1500
Channel [V],http://tv.huel.edu.cn/hls/channelv.m3u8
Channel [V],http://itv.ahau.edu.cn/hls/channelv.m3u8
Channel [V],http://185.180.221.194:8278/streams/d/ChannelV/playlist.m3u8
Channel [V],http://50.7.161.82:8278/streams/d/ChannelV_pye/playlist.m3u8
Channel [V],https://delivery.macan.live/stream/id_channelv/index.m3u8?token=gratisan
Channel [V],http://htv-drm-live-cdn.fptplay.net/CDN-FPT02/CHANNELV-HD-1080p/chunks.m3u8?bycoca
Channel [V],http://live.scuec.edu.cn:8080/hls/channelv.m3u8
Channel [V],http://htv-drm-live-cdn.fptplay.net/CDN-FPT02/CHANNELV-HD-1080p/playlist.m3u8
Channel [V],https://liveanevia.mncnow.id/live/eds/ChannelV/sa_dash_vmx/ChannelV.mpd
Channel [V],http://iptv.tvfix.org/hls/channelv.m3u8
东森娱乐LIVE(选EXO解码),https://github.com/lem85930/YTM/raw/main/东森娱乐live.m3u8
东森娱乐LIVE(选EXO解码),https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/东森娱乐live.m3u8


🌞油管直播(选EXO解码),#genre#
中天新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/中天新闻.m3u8
中天新闻2,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/中天新闻2.m3u8
三立+新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/三立新闻.m3u8
三立iNews新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/三立iNews新闻.m3u8
台视新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/台视新闻.m3u8
民视新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/民视新闻.m3u8
中视新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/中视新闻.m3u8
TVBS News,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/utlive/YTlive/TVBS.m3u8
TVBS国际+,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/utlive/YTlive/TVBS新闻2.m3u8
寰宇新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/寰宇新闻.m3u8
东森财经新闻https://ghproxy.com/,https://raw.githubusercontent.com/lem85930/YTM/main/东森财经新闻.m3u8
凤凰资讯台,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/凤凰资讯台.m3u8
CCTV中文国际,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/CCTV中文国际.m3u8

中天新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/中天新闻.m3u8
中天新闻2,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/中天新闻2.m3u8
三立+新闻,https://ghproxy.com/https://raw.githubusercontent.com/lem85930/YTM/main/三立新闻.m3u8
三立iNews新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/三立iNews新闻.m3u8
台视新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/台视新闻.m3u8
民视新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/民视新闻.m3u8
中视新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/中视新闻.m3u8
TVBS News,https://ghproxy.com/https://github.com/lem85930/utlive/raw/YTlive/TVBS.m3u8
TVBS国际+,https://ghproxy.com/https://github.com/lem85930/utlive/raw/YTlive/TVBS新闻2.m3u8
寰宇新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/寰宇新闻.m3u8
东森财经新闻,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/东森财经新闻.m3u8
凤凰资讯台,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/凤凰资讯台.m3u8
CCTV中文国际,https://ghproxy.com/https://github.com/lem85930/YTM/raw/main/CCTV中文国际.m3u8


🌞百事通,#genre#
CCTV16-4K,https://live.goodiptv.club/api/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,https://live.goodiptv.club/api/bestv.php?id=cctv4k/15000000
欢笑剧场4k,https://live.goodiptv.club/api/bestv.php?id=hxjc4k/15000000
CCTV1 8M,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV3 8M,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV4 8M,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV5 8M,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV5+ 8M,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV12 8M,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,https://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV17 8M,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
江苏卫视 8M,https://live.goodiptv.club/api/bestv.php?id=jswshd8m/8000000
广西卫视 8M,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
湖南卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
北京卫视 8M,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
江西卫视 8M,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
河南卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
东南卫视 8M,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
欢笑剧场 8M,https://live.goodiptv.club/api/bestv.php?id=hxjc8m/8000000
劲爆体育 8M,https://live.goodiptv.club/api/bestv.php?id=jbtyhd8m/8000000
快乐垂钓 8M,https://live.goodiptv.club/api/bestv.php?id=klcd8m/8000000
