📡  更新日期,#genre#
2024-08-30,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
2024-08-30,http://live.nctv.top/5678/bfgd.php?id=635
2024-08-30,http://live.nctv.top/5678/cqyx.php?id=cwjd

📡  央视频道,#genre#

CCTV1,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv1
CCTV2,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv2
CCTV3,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv3
CCTV4,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv4
CCTV5,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5
CCTV5+,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5p
CCTV6,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv6
CCTV7,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv7
CCTV8,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv8
CCTV9,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv9
CCTV10,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv10
CCTV11,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv11
CCTV12,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv12
CCTV13,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv13
CCTV14,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv14
CCTV15,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv15


CCTV1,http://live.nctv.top/5678/cqyx.php?id=cctv1
CCTV2,http://live.nctv.top/5678/cqyx.php?token=&id=cctv2
CCTV3,http://live.nctv.top/5678/cqyx.php?token=&id=cctv3
CCTV4,http://live.nctv.top/5678/cqyx.php?token=&id=cctv4
CCTV5,http://live.nctv.top/5678/cqyx.php?token=&id=cctv5
CCTV5+,http://live.nctv.top/5678/cqyx.php?token=&id=cctv5p
CCTV6,http://live.nctv.top/5678/cqyx.php?token=&id=cctv6
CCTV7,http://live.nctv.top/5678/cqyx.php?token=&id=cctv7
CCTV8,http://live.nctv.top/5678/cqyx.php?token=&id=cctv8
CCTV9,http://live.nctv.top/5678/cqyx.php?token=&id=cctv9
CCTV10,http://live.nctv.top/5678/cqyx.php?token=&id=cctv10
CCTV11,http://live.nctv.top/5678/cqyx.php?token=&id=cctv11
CCTV12,http://live.nctv.top/5678/cqyx.php?token=&id=cctv12
