组播频道,#genre#

CCTV1,http://182.149.106.41:8888/udp/239.93.0.184:5140$(四川成都1)
CCTV2,http://182.149.106.41:8888/udp/239.93.1.23:6000$(四川成都1)
CCTV3,http://182.149.106.41:8888/udp/239.93.1.11:2223$(四川成都1)
CCTV4,http://182.149.106.41:8888/udp/239.93.1.105:5140$(四川成都1)
CCTV5,http://182.149.106.41:8888/udp/239.93.42.37:5140$(四川成都1)
CCTV5+,http://182.149.106.41:8888/udp/239.93.1.36:8004$(四川成都1)
CCTV6,http://182.149.106.41:8888/udp/239.93.1.13:2226$(四川成都1)
CCTV7,http://182.149.106.41:8888/udp/239.93.1.67:5140$(四川成都1)
CCTV8,http://182.149.106.41:8888/udp/239.93.42.39:5140$(四川成都1)
CCTV9,http://182.149.106.41:8888/udp/239.93.1.24:5140$(四川成都1)
CCTV10,http://182.149.106.41:8888/udp/239.93.1.28:5140$(四川成都1)
CCTV11,http://182.149.106.41:8888/udp/239.93.0.102:5140$(四川成都1)
CCTV12,http://182.149.106.41:8888/udp/239.93.1.30:8124$(四川成都1)
CCTV13,http://182.149.106.41:8888/udp/239.93.0.66:5140$(四川成都1)
CCTV14,http://182.149.106.41:8888/udp/239.93.1.29:6000$(四川成都1)
CCTV15,http://182.149.106.41:8888/udp/239.93.0.103:5140$(四川成都1)
CCTV16,http://116.179.130.242:6000/rtp/226.0.2.169:9264$(山西忻州1)
CCTV17,http://182.149.106.41:8888/udp/239.93.0.92:5140$(四川成都1)

CCTV1,http://118.114.188.36:8888/udp/239.93.0.184:5140$(四川成都2)
CCTV2,http://118.114.188.36:8888/udp/239.93.1.23:6000$(四川成都2)
CCTV3,http://118.114.188.36:8888/udp/239.93.1.11:2223$(四川成都2)
CCTV4,http://118.114.188.36:8888/udp/239.93.1.105:5140$(四川成都2)
CCTV5,http://118.114.188.36:8888/udp/239.93.42.37:5140$(四川成都2)
CCTV5+,http://118.114.188.36:8888/udp/239.93.1.36:8004$(四川成都2)
CCTV6,http://118.114.188.36:8888/udp/239.93.1.13:2226$(四川成都2)
CCTV7,http://118.114.188.36:8888/udp/239.93.1.67:5140$(四川成都2)
CCTV8,http://118.114.188.36:8888/udp/239.93.42.39:5140$(四川成都2)
CCTV9,http://118.114.188.36:8888/udp/239.93.1.24:5140$(四川成都2)
CCTV10,http://118.114.188.36:8888/udp/239.93.1.28:5140$(四川成都2)
CCTV11,http://118.114.188.36:8888/udp/239.93.0.102:5140$(四川成都2)
CCTV12,http://118.114.188.36:8888/udp/239.93.1.30:8124$(四川成都2)
CCTV13,http://118.114.188.36:8888/udp/239.93.0.66:5140$(四川成都2)
CCTV14,http://118.114.188.36:8888/udp/239.93.1.29:6000$(四川成都2)
CCTV15,http://118.114.188.36:8888/udp/239.93.0.103:5140$(四川成都2)
CCTV17,http://118.114.188.36:8888/udp/239.93.0.92:5140$(四川成都2)

CCTV1,http://171.213.36.122:8888/udp/239.93.0.184:5140$(四川成都3)
CCTV2,http://171.213.36.122:8888/udp/239.93.1.23:6000$(四川成都3)
CCTV3,http://171.213.36.122:8888/udp/239.93.1.11:2223$(四川成都3)
CCTV4,http://171.213.36.122:8888/udp/239.93.1.105:5140$(四川成都3)
CCTV5,http://171.213.36.122:8888/udp/239.93.42.37:5140$(四川成都3)
CCTV5+,http://171.213.36.122:8888/udp/239.93.1.36:8004$(四川成都3)
CCTV6,http://171.213.36.122:8888/udp/239.93.1.13:2226$(四川成都3)
CCTV7,http://171.213.36.122:8888/udp/239.93.1.67:5140$(四川成都3)
CCTV8,http://171.213.36.122:8888/udp/239.93.42.39:5140$(四川成都3)
CCTV9,http://171.213.36.122:8888/udp/239.93.1.24:5140$(四川成都3)
CCTV10,http://171.213.36.122:8888/udp/239.93.1.28:5140$(四川成都3)
CCTV11,http://171.213.36.122:8888/udp/239.93.0.102:5140$(四川成都3)
CCTV12,http://171.213.36.122:8888/udp/239.93.1.30:8124$(四川成都3)
CCTV13,http://171.213.36.122:8888/udp/239.93.0.66:5140$(四川成都3)
CCTV14,http://171.213.36.122:8888/udp/239.93.1.29:6000$(四川成都3)
CCTV15,http://171.213.36.122:8888/udp/239.93.0.103:5140$(四川成都3)
CCTV17,http://171.213.36.122:8888/udp/239.93.0.92:5140$(四川成都3)

